Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Time,Payment,Rating,Data
750-67-8428,Rio de Janeiro,Membro,Mulher,Saude e Beleza,74.69,7,522.83,13:08,Pix,9.1,2025-01-01
226-31-3081,São Paulo,Normal,Mulher,Acessorios Eletronicos,15.28,5,76.4,10:29,Debito,9.6,2025-01-01
631-41-3108,Rio de Janeiro,Normal,Homem,Casa e Estilo de Vida,46.33,7,324.31,13:23,Cartao de Credito,7.4,2025-01-01
123-19-1176,Rio de Janeiro,Membro,Homem,Saude e Beleza,58.22,8,465.76,20:33,Pix,8.4,2025-01-01
373-73-7910,Rio de Janeiro,Normal,Homem,Esportes e Viagens,86.31,7,604.17,10:37,Pix,5.3,2025-01-01
699-14-3026,São Paulo,Normal,Homem,Acessorios Eletronicos,85.39,7,597.73,18:30,Pix,4.1,2025-01-01
355-53-5943,Rio de Janeiro,Membro,Mulher,Acessorios Eletronicos,68.84,6,413.04,14:36,Pix,5.8,2025-01-01
315-22-5665,São Paulo,Normal,Mulher,Casa e Estilo de Vida,73.56,10,735.6,11:38,Pix,8.0,2025-01-01
665-32-9167,Rio de Janeiro,Membro,Mulher,Saude e Beleza,36.26,2,72.52,17:15,Cartao de Credito,7.2,2025-01-01
692-92-5582,Manaus,Membro,Mulher,Alimentos e Bebidas,54.84,3,164.52,13:27,Cartao de Credito,5.9,2025-01-01
351-62-0822,Manaus,Membro,Mulher,Moda,14.48,4,57.92,18:07,Pix,4.5,2025-01-01
529-56-3974,Manaus,Membro,Homem,Acessorios Eletronicos,25.51,4,102.04,17:03,Debito,6.8,2025-01-01
365-64-0515,Rio de Janeiro,Normal,Mulher,Acessorios Eletronicos,46.95,5,234.75,10:25,Pix,7.1,2025-01-01
252-56-2699,Rio de Janeiro,Normal,Homem,Alimentos e Bebidas,43.19,10,431.9,16:48,Pix,8.2,2025-01-01
829-34-3910,Rio de Janeiro,Normal,Mulher,Saude e Beleza,71.38,10,713.8,19:21,Debito,5.7,2025-01-01
299-46-1805,Manaus,Membro,Mulher,Esportes e Viagens,93.72,6,562.32,16:19,Debito,4.5,2025-01-01
656-95-9349,Rio de Janeiro,Membro,Mulher,Saude e Beleza,68.93,7,482.51,11:03,Cartao de Credito,4.6,2025-01-01
765-26-6951,Rio de Janeiro,Normal,Homem,Esportes e Viagens,72.61,6,435.66,10:39,Cartao de Credito,6.9,2025-01-01
329-62-1586,Rio de Janeiro,Normal,Homem,Alimentos e Bebidas,54.67,3,164.01,18:00,Cartao de Credito,8.6,2025-01-01
319-50-3348,Manaus,Normal,Mulher,Casa e Estilo de Vida,40.3,2,80.6,15:30,Pix,4.4,2025-01-01
300-71-4605,São Paulo,Membro,Homem,Acessorios Eletronicos,86.04,5,430.2,11:24,Pix,4.8,2025-01-01
371-85-5789,Manaus,Normal,Homem,Saude e Beleza,87.98,3,263.94,10:40,Pix,5.1,2025-01-01
273-16-6619,Manaus,Normal,Homem,Casa e Estilo de Vida,33.2,2,66.4,12:20,Cartao de Credito,4.4,2025-01-01
636-48-8204,Rio de Janeiro,Normal,Homem,Acessorios Eletronicos,34.56,5,172.8,11:15,Pix,9.9,2025-01-01
549-59-1358,Rio de Janeiro,Membro,Homem,Esportes e Viagens,88.63,3,265.89,17:36,Pix,6.0,2025-01-01
227-03-5010,Rio de Janeiro,Membro,Mulher,Casa e Estilo de Vida,52.59,8,420.72,19:20,Cartao de Credito,8.5,2025-01-01
649-29-6775,Manaus,Normal,Homem,Moda,33.52,1,33.52,15:31,Debito,6.7,2025-01-01
189-17-4241,Rio de Janeiro,Normal,Mulher,Moda,87.67,2,175.34,12:17,Cartao de Credito,7.7,2025-01-01
145-94-9061,Manaus,Normal,Mulher,Alimentos e Bebidas,88.36,5,441.8,19:48,Debito,9.6,2025-01-01
848-62-7243,Rio de Janeiro,Normal,Homem,Saude e Beleza,24.89,9,224.01,15:36,Debito,7.4,2025-01-01
871-79-8483,Manaus,Normal,Homem,Moda,94.13,5,470.65,19:39,Cartao de Credito,4.8,2025-01-01
149-71-6266,Manaus,Membro,Homem,Esportes e Viagens,78.07,9,702.63,12:43,Debito,4.5,2025-01-01
640-49-2076,Manaus,Normal,Homem,Esportes e Viagens,83.78,8,670.24,14:49,Debito,5.1,2025-01-01
595-11-5460,Rio de Janeiro,Normal,Homem,Saude e Beleza,96.58,2,193.16,10:12,Cartao de Credito,5.1,2025-01-01
183-56-6882,São Paulo,Membro,Mulher,Alimentos e Bebidas,99.42,4,397.68,10:42,Pix,7.5,2025-01-01
